ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
0,0,0,0,0,877,JP,"2016-11-19 07:00:00",1,0,0,0,0,,,,,,2385
12,0,0,0,0,877,SE,"2016-11-19 12:00:00",0,0,0,0,142476,,,,,,533
1,0,0,0,2405,877,US,"2016-11-19 12:00:00",0,0,0,0,332996,{file_id},,{offer_id},{affiliate_id},{aff_sub},2962
1,0,0,0,2424,877,US,"2016-11-19 12:00:00",0,0,0,0,334540,,,{offer_id},{affiliate_id},{aff_sub},2962
30,0,0,0,0,877,SE,"2016-11-19 18:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,DK,"2016-11-19 07:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,IE,"2016-11-19 17:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,NL,"2016-11-19 06:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CA,"2016-11-19 09:00:00",0,0,0,0,365,,,,,,47266
390,0,0,0,0,877,NL,"2016-11-19 03:00:00",0,0,0,0,1899,,,,,,533
126,0,0,0,0,877,SE,"2016-11-19 17:00:00",0,0,0,0,1899,,,,,,533
1,1,0,0,1783,877,US,"2016-11-19 18:00:00",0,0,0,0,181341,,,,[PID],,2962
0,0,1,0,98,877,CN,"2016-11-19 05:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5255b9a777aa478519000008,2962
24,0,0,0,0,877,IE,"2016-11-19 23:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,IE,"2016-11-19 08:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,IT,"2016-11-19 00:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,NL,"2016-11-19 15:00:00",0,0,0,0,142476,,,,,,533
108,0,0,0,0,877,DE,"2016-11-19 20:00:00",0,0,0,0,365,,,,,,47266
18,0,0,0,0,877,CA,"2016-11-19 20:00:00",0,0,0,0,142476,,,,,,533
