ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
0,0,0,0,0,877,US,"2016-11-18 09:00:00",0,10,0,0,0,,,,,,114023
0,0,0,0,0,877,US,"2016-11-18 22:00:00",3,1,0,0,0,,,,,,2385
30,0,0,0,0,877,IT,"2016-11-18 16:00:00",0,0,0,0,365,,,,,,47266
0,0,1,0,98,877,CN,"2016-11-18 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,521b36c58e60e5e30d000008,2962
30,0,0,0,0,877,SE,"2016-11-18 18:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,CH,"2016-11-18 21:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,ID,"2016-11-18 22:00:00",0,0,0,0,0,,,,,,123959
0,0,0,0,242,877,LA,"2016-11-18 06:00:00",1,0,0,0,14498,,,,,72031,2962
6,0,0,0,0,877,DK,"2016-11-18 21:00:00",0,0,0,0,142476,,,,,,533
90,0,0,0,0,877,IE,"2016-11-18 16:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 19:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,US,"2016-11-18 02:00:00",0,5,0,0,0,,,,,,114023
0,0,0,0,0,877,IR,"2016-11-18 05:00:00",2,0,0,0,0,,,,,,123959
30,0,0,0,0,877,IT,"2016-11-18 01:00:00",0,0,0,0,365,,,,,,47266
0,0,2,1,98,877,RU,"2016-11-18 10:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
6,0,0,0,0,877,CH,"2016-11-18 05:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,IE,"2016-11-18 20:00:00",0,0,0,0,365,,,,,,533
294,0,0,0,0,877,UK,"2016-11-18 04:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 12:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,CN,"2016-11-18 16:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
0,0,0,0,0,877,US,"2016-11-18 06:00:00",0,7,0,0,0,,,,,,114023
66,0,0,0,0,877,CH,"2016-11-18 23:00:00",0,0,0,0,1899,,,,,,533
108,0,0,0,0,877,SE,"2016-11-18 10:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,CL,"2016-11-18 03:00:00",4,1,0,0,0,,,,,,2385
0,0,1,1,98,877,CN,"2016-11-18 07:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
0,0,1,1,98,877,RU,"2016-11-18 06:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
0,0,1,0,98,877,RU,"2016-11-18 00:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5642ec07b3ec8e0d32000025,2962
294,0,0,0,0,877,UK,"2016-11-18 10:00:00",0,0,0,0,1899,,,,,,533
24,0,0,0,0,877,CH,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,533
1,1,0,0,0,877,JP,"2016-11-18 08:00:00",0,0,0,0,45684,,,,,,38406
715,0,0,0,0,877,DE,"2016-11-18 12:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,IT,"2016-11-18 14:00:00",0,0,0,0,365,,,,,,47266
337,0,0,0,0,877,US,"2016-11-18 05:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,SE,"2016-11-18 14:00:00",0,0,0,0,365,,,,,,47266
1,1,0,0,1072,877,KZ,"2016-11-18 08:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
712,0,0,0,0,877,DE,"2016-11-18 04:00:00",0,0,0,0,1899,,,,,,533
1,1,0,0,214,877,JP,"2016-11-18 05:00:00",0,0,0,0,12738,,,14305,,,2962
6,0,0,0,0,877,IE,"2016-11-18 10:00:00",0,0,0,0,142476,,,,,,533
4,3,0,0,5,877,US,"2016-11-18 08:00:00",0,0,0,0,343974,,,,,,2385
0,0,1,1,98,877,RU,"2016-11-18 00:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,566f71063fc0263d5a00000e,2962
270,0,0,0,0,877,US,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,IE,"2016-11-18 23:00:00",0,0,0,0,142476,,,,,,533
24,0,0,0,0,877,CH,"2016-11-18 09:00:00",0,0,0,0,365,,,,,,533
